unique_id,product_id,machine_type,brand,location,product_type,air_temperature_K,process_temperature_K,temperature_C,rotational_speed_rpm,vibration_mm_s,pressure_bar,voltage_V,current_A,torque_Nm,tool_wear_min,machine_failure,failure_type,tool_wear_failure,heat_dissipation_failure,power_failure,overstain_failure,random_failures,timestamp,operating_hours,downtime_hours,maintenance_type,maintenance_cost,production_units,defect_rate
1,M14860,Lathe,GE,Factory_A,Medium,298.1,308.6,24.95,1551,4.500001277,7.099166864,217.5762869,8.253645311,42.8,0,0,None,0,0,0,0,0,2025-01-01 00:00:00,481,0,Preventive,78,207,1.384644213
2,L47181,CNC,ABB,Factory_A,Low,298.2,308.7,25.05,1408,4.864837966,7.36177706,216.8357454,9.407077634,46.3,3,0,None,0,0,0,0,0,2025-01-01 01:00:00,536,0,Preventive,204,302,2.332453207
3,L47182,Press,GE,Factory_A,Low,298.1,308.5,24.95,1498,4.819916568,7.67332176,229.2763526,10.0169805,49.4,5,0,None,0,0,0,0,0,2025-01-01 02:00:00,188,0,Preventive,186,206,1.648149139
4,L47183,Lathe,ABB,Factory_B,Low,298.2,308.6,25.05,1433,3.728902692,6.743369377,218.5285697,8.046655151,39.5,7,0,None,0,0,0,0,0,2025-01-01 03:00:00,704,0,Preventive,207,217,0.39850766
5,L47184,Lathe,ABB,Factory_C,Low,298.2,308.7,25.05,1408,4.087065225,7.01222484,220.6051135,8.50738282,40,9,0,None,0,0,0,0,0,2025-01-01 04:00:00,704,0,Preventive,60,280,1.974005831
6,M14865,CNC,Siemens,Factory_C,Medium,298.1,308.6,24.95,1425,4.163080378,7.076921049,214.730903,8.766439208,41.9,11,0,None,0,0,0,0,0,2025-01-01 05:00:00,194,0,Preventive,234,254,0.49368823
7,L47186,Lathe,GE,Factory_C,Low,298.1,308.6,24.95,1558,5.301605696,7.106077238,219.3913041,9.054786152,42.4,14,0,None,0,0,0,0,0,2025-01-01 06:00:00,282,0,Preventive,111,219,1.866416193
8,L47187,CNC,ABB,Factory_A,Low,298.1,308.6,24.95,1527,3.743310895,7.012200352,215.0573332,8.270690672,40.2,16,0,None,0,0,0,0,0,2025-01-01 07:00:00,917,0,Preventive,151,427,0.178868511
9,M14868,Conveyor,ABB,Factory_A,Medium,298.3,308.7,25.15,1667,3.216554279,6.476719441,216.5734476,5.992834247,28.6,18,0,None,0,0,0,0,0,2025-01-01 08:00:00,639,0,Preventive,179,469,2.407800394
10,M14869,Lathe,Bosch,Factory_C,Medium,298.5,309,25.35,1741,2.867765243,6.593365442,223.9073457,5.351242933,28,21,0,None,0,0,0,0,0,2025-01-01 09:00:00,311,0,Preventive,295,398,1.711470854
